time,temperature,cloud_cover
2025-05-16T00:00,26.0,46
2025-05-16T01:00,25.5,48
2025-05-16T02:00,25.1,50
2025-05-16T03:00,24.9,55
2025-05-16T04:00,24.9,59
2025-05-16T05:00,25.0,64
2025-05-16T06:00,25.2,59
2025-05-16T07:00,25.6,53
2025-05-16T08:00,26.1,48
2025-05-16T09:00,27.0,41
2025-05-16T10:00,28.0,33
2025-05-16T11:00,28.9,26
2025-05-16T12:00,29.6,37
2025-05-16T13:00,30.4,47
2025-05-16T14:00,30.7,58
2025-05-16T15:00,30.1,64
2025-05-16T16:00,29.0,69
2025-05-16T17:00,28.2,75
2025-05-16T18:00,27.7,78
2025-05-16T19:00,27.5,82
2025-05-16T20:00,27.2,85
2025-05-16T21:00,27.1,86
2025-05-16T22:00,27.0,88
2025-05-16T23:00,26.9,89
2025-05-17T00:00,26.6,87
2025-05-17T01:00,26.2,85
2025-05-17T02:00,26.0,83
2025-05-17T03:00,25.7,85
2025-05-17T04:00,25.5,86
2025-05-17T05:00,25.5,88
2025-05-17T06:00,25.6,89
2025-05-17T07:00,26.0,91
2025-05-17T08:00,26.5,92
2025-05-17T09:00,27.0,95
2025-05-17T10:00,27.8,97
2025-05-17T11:00,28.5,100
2025-05-17T12:00,29.3,89
2025-05-17T13:00,30.1,79
2025-05-17T14:00,30.5,68
2025-05-17T15:00,30.1,49
2025-05-17T16:00,29.3,31
2025-05-17T17:00,28.5,12
2025-05-17T18:00,28.0,11
2025-05-17T19:00,27.4,11
2025-05-17T20:00,27.0,10
2025-05-17T21:00,26.5,8
2025-05-17T22:00,26.3,7
2025-05-17T23:00,26.0,5
2025-05-18T00:00,25.8,20
2025-05-18T01:00,25.6,36
2025-05-18T02:00,25.5,51
2025-05-18T03:00,25.2,42
2025-05-18T04:00,25.0,33
2025-05-18T05:00,25.1,24
2025-05-18T06:00,25.4,19
2025-05-18T07:00,25.9,15
2025-05-18T08:00,26.7,10
2025-05-18T09:00,28.0,14
2025-05-18T10:00,29.6,18
2025-05-18T11:00,30.5,22
2025-05-18T12:00,29.9,45
2025-05-18T13:00,28.5,69
2025-05-18T14:00,27.6,92
2025-05-18T15:00,27.7,81
2025-05-18T16:00,28.2,69
2025-05-18T17:00,28.5,58
2025-05-18T18:00,28.2,61
2025-05-18T19:00,27.8,63
2025-05-18T20:00,27.4,66
2025-05-18T21:00,27.4,77
2025-05-18T22:00,27.4,89
2025-05-18T23:00,27.4,100
2025-05-19T00:00,27.1,98
2025-05-19T01:00,26.9,96
2025-05-19T02:00,26.5,94
2025-05-19T03:00,26.2,96
2025-05-19T04:00,25.8,98
2025-05-19T05:00,25.6,100
2025-05-19T06:00,25.7,100
2025-05-19T07:00,25.9,100
2025-05-19T08:00,26.2,100
2025-05-19T09:00,26.5,100
2025-05-19T10:00,26.9,100
2025-05-19T11:00,27.5,100
2025-05-19T12:00,28.2,95
2025-05-19T13:00,29.1,91
2025-05-19T14:00,29.6,86
2025-05-19T15:00,29.1,89
2025-05-19T16:00,28.2,92
2025-05-19T17:00,27.5,95
2025-05-19T18:00,27.4,96
2025-05-19T19:00,27.4,98
2025-05-19T20:00,27.5,99
2025-05-19T21:00,27.2,99
2025-05-19T22:00,27.0,99
2025-05-19T23:00,26.8,99
2025-05-20T00:00,26.5,95
2025-05-20T01:00,26.1,91
2025-05-20T02:00,25.9,87
2025-05-20T03:00,25.6,91
2025-05-20T04:00,25.5,96
2025-05-20T05:00,25.4,100
2025-05-20T06:00,25.4,100
2025-05-20T07:00,25.4,100
2025-05-20T08:00,25.9,100
2025-05-20T09:00,27.1,94
2025-05-20T10:00,28.8,87
2025-05-20T11:00,30.0,81
2025-05-20T12:00,30.5,72
2025-05-20T13:00,30.6,64
2025-05-20T14:00,30.5,55
2025-05-20T15:00,29.9,45
2025-05-20T16:00,28.9,34
2025-05-20T17:00,28.1,24
2025-05-20T18:00,27.8,29
2025-05-20T19:00,27.6,33
2025-05-20T20:00,27.5,38
2025-05-20T21:00,27.4,51
2025-05-20T22:00,27.4,64
2025-05-20T23:00,27.2,77
2025-05-21T00:00,26.6,84
2025-05-21T01:00,26.0,92
2025-05-21T02:00,25.5,99
2025-05-21T03:00,25.3,99
2025-05-21T04:00,25.4,100
2025-05-21T05:00,25.5,100
2025-05-21T06:00,25.8,88
2025-05-21T07:00,26.2,76
2025-05-21T08:00,26.8,64
2025-05-21T09:00,27.8,65
2025-05-21T10:00,28.9,66
2025-05-21T11:00,29.7,67
2025-05-21T12:00,29.8,77
2025-05-21T13:00,29.5,87
2025-05-21T14:00,29.3,97
2025-05-21T15:00,29.1,94
2025-05-21T16:00,28.9,91
2025-05-21T17:00,28.6,88
2025-05-21T18:00,28.1,81
2025-05-21T19:00,27.5,75
2025-05-21T20:00,27.1,68
